North America,,,,,,
Alaska,Northwest Territory,Alberta,Kamchatka,,,
Alberta,Alaska,Northwest Territory,Ontario,Western US,,
Central America,Eastern US,Western US,Venezuela,,,
Eastern US,Central America,Ontario,Quebec,Western US,,
Greenland,Iceland,Northwest Territory,Ontario,Quebec,,
Northwest Territory,Alaska,Alberta,Greenland,Ontario,,
Ontario,Alberta,Eastern US,Greenland,Northwest Territory,Quebec,
Quebec,Eastern US,Greenland,Ontario,,,
Western US,Alberta,Central America,Eastern US,Ontario,,
South America,,,,,,
Argentina,Brazil,Peru,,,,
Brazil,Argentina,North Africa,Venezuela,Peru,,
Venezuela,Brazil,Central America,Peru,,,
Peru,Argentina,Brazil,Venezuela,,,
Africa,,,,,,
Congo,East Africa,Madagascar,North Africa,South Africa,,
East Africa,Congo,Egypt,Madagascar,Middle East,North Africa,South Africa
Egypt,East Africa,Middle East,North Africa,Southern Europe,,
Madagascar,East Africa,South Africa,,,,
North Africa,Brazil,Congo,East Africa,Egypt,Southern Europe,Western Europe
South Africa,Congo,East Africa,Madagascar,,,
Europe,,,,,,
Great Britain,Iceland,Northern Europe,Scandinavia,Western Europe,,
Iceland,Great Britain,Greenland,Scandinavia,,,
Northern Europe,Great Britain,Scandinavia,Southern Europe,Ukraine,Western Europe,
Scandinavia,Great Britain,Iceland,Northern Europe,Ukraine,,
Southern Europe,Egypt,Middle East,North Africa,Northern Europe,Ukraine,Western Europe
Ukraine,Afghanistan,Middle East,Northern Europe,Scandinavia,Southern Europe,Ural
Western Europe,Great Britain,North Africa,Northern Europe,Southern Europe,,
Asia,,,,,,
Afghanistan,China,India,Middle East,Ukraine,Ural,
China,Afghanistan,India,Mongolia,Siam,Siberia,Ural
India,Afghanistan,China,Middle East,Siam,,
Irkutsk,Kamchatka,Mongolia,Siberia,Yakutsk,,
Japan,Kamchatka,Mongolia,,,,
Kamchatka,Alaska,Irkutsk,Japan,Mongolia,Yakutsk,
Middle East,Afghanistan,East Africa,Egypt,India,Southern Europe,Ukraine
Mongolia,China,Irkutsk,Japan,Kamchatka,Siberia,
Siam,China,India,Indonesia,,,
Siberia,China,Irkutsk,Mongolia,Ural,Yakutsk,
Ural,Afghanistan,China,Siberia,Ukraine,,
Yakutsk,Irkutsk,Kamchatka,Siberia,,,
Australia,,,,,,
Eastern Australia,New Guinea,Western Australia,,,,
New Guinea,Eastern Australia,Indonesia,Western Australia,,,
Indonesia,New Guinea,Siam,Western Australia,,,
Western Australia,Eastern Australia,New Guinea,Indonesia,,,
